n,F
123,0.195121951219512
124,0.193548387096774
125,0.2
126,0.198412698412698
127,0.196850393700787
128,0.1953125
129,0.193798449612403
130,0.192307692307692
131,0.190839694656489
132,0.189393939393939
133,0.18796992481203
134,0.186567164179104
135,0.185185185185185
136,0.183823529411765
137,0.182481751824818
138,0.181159420289855
139,0.18705035971223
140,0.185714285714286
141,0.184397163120567
142,0.183098591549296
143,0.181818181818182
144,0.180555555555556
145,0.179310344827586
146,0.178082191780822
147,0.17687074829932
148,0.175675675675676
149,0.174496644295302
150,0.173333333333333
151,0.172185430463576
152,0.171052631578947
153,0.169934640522876
154,0.168831168831169
155,0.167741935483871
156,0.173076923076923
157,0.171974522292994
158,0.170886075949367
159,0.176100628930818
160,0.175
161,0.180124223602484
162,0.179012345679012
163,0.177914110429448
164,0.176829268292683
165,0.175757575757576
166,0.174698795180723
167,0.173652694610778
168,0.172619047619048
169,0.177514792899408
170,0.176470588235294
171,0.175438596491228
172,0.174418604651163
173,0.173410404624277
174,0.17816091954023
175,0.177142857142857
176,0.176136363636364
177,0.175141242937853
178,0.174157303370787
179,0.17877094972067
180,0.177777777777778
181,0.18232044198895
182,0.181318681318681
183,0.180327868852459
184,0.179347826086957
185,0.183783783783784
186,0.182795698924731
187,0.181818181818182
188,0.180851063829787
189,0.185185185185185
190,0.184210526315789
191,0.18848167539267
192,0.1875
193,0.186528497409326
194,0.185567010309278
195,0.184615384615385
196,0.183673469387755
197,0.182741116751269
198,0.181818181818182
199,0.185929648241206
200,0.185
201,0.18407960199005
202,0.183168316831683
203,0.182266009852217
204,0.186274509803922
205,0.185365853658537
206,0.189320388349515
207,0.188405797101449
208,0.1875
209,0.191387559808612
210,0.19047619047619
211,0.18957345971564
212,0.188679245283019
213,0.187793427230047
214,0.186915887850467
215,0.190697674418605
216,0.189814814814815
217,0.188940092165899
218,0.188073394495413
219,0.187214611872146
220,0.186363636363636
221,0.18552036199095
222,0.184684684684685
223,0.183856502242152
224,0.183035714285714
225,0.186666666666667
226,0.190265486725664
227,0.18942731277533
228,0.192982456140351
229,0.192139737991266
230,0.191304347826087
231,0.19047619047619
232,0.189655172413793
233,0.1931330472103
234,0.192307692307692
235,0.195744680851064
236,0.194915254237288
237,0.19831223628692
238,0.201680672268908
239,0.200836820083682
240,0.2
241,0.203319502074689
242,0.202479338842975
243,0.201646090534979
244,0.200819672131148
245,0.2
246,0.203252032520325
247,0.202429149797571
248,0.201612903225806
249,0.200803212851406
250,0.2
251,0.199203187250996
252,0.198412698412698
253,0.201581027667984
254,0.200787401574803
255,0.2
256,0.203125
257,0.202334630350195
258,0.201550387596899
259,0.200772200772201
260,0.2
261,0.199233716475096
262,0.202290076335878
263,0.201520912547529
264,0.200757575757576
265,0.2
266,0.199248120300752
267,0.198501872659176
268,0.197761194029851
269,0.197026022304833
270,0.196296296296296
271,0.195571955719557
272,0.194852941176471
273,0.194139194139194
274,0.193430656934307
275,0.192727272727273
276,0.192028985507246
277,0.194945848375451
278,0.197841726618705
279,0.197132616487455
280,0.196428571428571
281,0.199288256227758
282,0.198581560283688
283,0.197879858657244
284,0.197183098591549
285,0.196491228070175
286,0.195804195804196
287,0.198606271777003
288,0.197916666666667
289,0.200692041522491
290,0.2
291,0.199312714776632
292,0.198630136986301
293,0.197952218430034
294,0.197278911564626
295,0.196610169491525
296,0.195945945945946
297,0.198653198653199
298,0.197986577181208
299,0.20066889632107
300,0.2
301,0.199335548172757
302,0.198675496688742
303,0.198019801980198
304,0.197368421052632
305,0.19672131147541
306,0.196078431372549
307,0.195439739413681
308,0.194805194805195
309,0.194174757281553
310,0.196774193548387
311,0.19935691318328
312,0.198717948717949
313,0.201277955271566
314,0.200636942675159
315,0.2
316,0.199367088607595
317,0.198738170347003
318,0.19811320754717
319,0.200626959247649
320,0.2
321,0.199376947040498
322,0.198757763975155
323,0.198142414860681
324,0.197530864197531
325,0.196923076923077
326,0.196319018404908
327,0.195718654434251
328,0.195121951219512
329,0.194528875379939
330,0.193939393939394
331,0.193353474320242
332,0.192771084337349
333,0.192192192192192
334,0.191616766467066
335,0.191044776119403
336,0.19047619047619
337,0.192878338278932
338,0.195266272189349
339,0.194690265486726
340,0.194117647058824
341,0.193548387096774
342,0.195906432748538
343,0.19533527696793
344,0.194767441860465
345,0.197101449275362
346,0.196531791907514
347,0.195965417867435
348,0.195402298850575
349,0.194842406876791
350,0.194285714285714
351,0.193732193732194
352,0.193181818181818
353,0.192634560906516
354,0.194915254237288
355,0.194366197183099
356,0.193820224719101
357,0.19327731092437
358,0.195530726256983
359,0.197771587743733
360,0.197222222222222
361,0.199445983379501
362,0.198895027624309
363,0.198347107438017
364,0.197802197802198
365,0.2
366,0.202185792349727
367,0.204359673024523
368,0.203804347826087
369,0.203252032520325
370,0.202702702702703
371,0.202156334231806
372,0.201612903225806
373,0.201072386058981
374,0.200534759358289
375,0.2
376,0.202127659574468
377,0.20159151193634
378,0.201058201058201
379,0.200527704485488
380,0.2
381,0.199475065616798
382,0.198952879581152
383,0.201044386422977
384,0.200520833333333
385,0.202597402597403
386,0.202072538860104
387,0.201550387596899
388,0.201030927835052
389,0.200514138817481
390,0.2
391,0.202046035805627
392,0.201530612244898
393,0.201017811704835
394,0.200507614213198
395,0.20253164556962
396,0.202020202020202
397,0.201511335012594
398,0.201005025125628
399,0.203007518796992
400,0.2025
401,0.201995012468828
402,0.201492537313433
403,0.203473945409429
404,0.205445544554455
405,0.204938271604938
406,0.204433497536946
407,0.203931203931204
408,0.205882352941176
409,0.207823960880196
410,0.209756097560976
411,0.211678832116788
412,0.211165048543689
413,0.210653753026634
414,0.210144927536232
415,0.209638554216867
416,0.211538461538462
417,0.211031175059952
418,0.210526315789474
419,0.212410501193317
420,0.211904761904762
421,0.211401425178147
422,0.210900473933649
423,0.210401891252955
424,0.209905660377358
425,0.211764705882353
426,0.213615023474178
427,0.213114754098361
428,0.212616822429907
429,0.214452214452214
430,0.216279069767442
431,0.218097447795824
432,0.217592592592593
433,0.217090069284065
434,0.21889400921659
435,0.218390804597701
436,0.217889908256881
437,0.217391304347826
438,0.21689497716895
439,0.216400911161731
440,0.215909090909091
441,0.217687074829932
442,0.217194570135747
443,0.216704288939052
444,0.216216216216216
445,0.217977528089888
446,0.217488789237668
447,0.217002237136465
448,0.216517857142857
449,0.216035634743875
450,0.217777777777778
451,0.217294900221729
452,0.216814159292035
453,0.216335540838852
454,0.215859030837004
455,0.215384615384615
456,0.214912280701754
457,0.214442013129103
458,0.216157205240175
459,0.215686274509804
460,0.215217391304348
461,0.214750542299349
462,0.216450216450216
463,0.215982721382289
464,0.21551724137931
465,0.21505376344086
466,0.214592274678112
467,0.214132762312634
468,0.213675213675214
469,0.213219616204691
470,0.212765957446809
471,0.212314225053079
472,0.211864406779661
473,0.211416490486258
474,0.213080168776371
475,0.212631578947368
476,0.21218487394958
477,0.211740041928721
478,0.211297071129707
479,0.210855949895616
480,0.210416666666667
481,0.20997920997921
482,0.20954356846473
483,0.211180124223602
484,0.210743801652893
485,0.212371134020619
486,0.211934156378601
487,0.211498973305955
488,0.211065573770492
489,0.210633946830266
490,0.210204081632653
491,0.209775967413442
492,0.211382113821138
493,0.210953346855984
494,0.210526315789474
495,0.212121212121212
496,0.211693548387097
