lambda,theta,phi
5.87478115987525,0.86932488564999,5.30300532976607
13.5432421287499,0.837283749484292,1.23279186256857
4.07492470883515,0.869362864149679,1.90915605179922
8.32073193075785,0.797219184544218,3.03662932702777
8.25995334360161,0.291500245662084,2.12253567063872
4.65249552270639,1.01271891936637,5.0170344320409
6.03309837488712,1.50875743588595,6.20456742345214
2.73791014491072,0.637798066532387,0.99932525897459
2.54224869382415,1.40044129428811,1.48835957353383
5.72025748283792,0.629324723579464,4.41228289254216
8.72301191267714,1.22724553566084,2.35915803432352
14.8418791448079,0.740030804024611,6.11796833801619
3.12989371044998,0.698386945084053,6.1091759815908
6.04186380503165,0.485462746457837,4.04447412638473
5.25164166641387,0.36235565957749,5.40416062577173
1.95859757436265,0.589326018362797,2.52510786156381
4.38291289864021,1.02001833189944,3.97053830500623
3.33640853672541,1.08606587744828,6.19042437686625
9.0286267735789,0.984398048009225,3.5153002169982
4.2257368221963,0.099168789514637,5.86593100852141
5.70183747590111,1.1636800460122,4.52604984807054
3.35797392994762,1.28836674266869,3.04130369694431
6.34740918610169,1.07175127468755,4.01515077236562
3.93965329084326,0.208040066343005,5.5771869138685
6.88162495581316,0.662345896589459,1.24869982821816
7.31414487273206,0.995901401664491,2.48415956346972
8.16882886613094,1.02384749601874,6.23402128278496
5.11758615639417,0.493349937077675,2.5280497678519
2.80010443401196,0.54533538707887,4.13971736141749
3.73968675786762,0.962083584213341,5.66333728330434
13.2816484615002,0.762882752531585,6.2541681532515
3.27541382959576,0.910413059578731,4.10394593096337
9.77070746820685,0.507800007977295,0.68132617026481
5.78163166990061,0.43439396665203,0.226911147676412
44.0335826767438,1.14533305682623,3.88358179167637
2.75603066942376,1.06696779673474,3.56347312172723
5.06194859267008,1.31194313275395,6.04420220394846
2.97238210513164,0.334677378270687,4.68791892305908
18.4948371104616,0.441041062998324,4.16271141545725
1.71787949712718,0.32023964567673,3.28807455329773
8.64172745600196,0.775161250155147,1.63296393084276
9.55405643148321,0.4551497034838,6.04438510188604
11.1181479389923,1.24225958914328,3.39420207138404
2.80490121398056,0.320230219635575,0.190193046045016
4.7756441797153,0.211734587157114,4.37507280568143
3.92141596556344,0.842819455835474,3.26547292735229
9.15435682191002,1.07358683743843,0.370899920025733
4.98642750446961,0.592595607290355,5.59226258347697
13.1203043866309,0.436823314867193,2.07472187856184
3.45874722099572,0.621430725688673,1.44325519150537
3.94454439746543,0.476212575203958,0.715960433157239
3.23286661929026,0.795551380930396,1.9535850248401
3.17163556667794,1.25980824400189,1.43528261012818
11.139891107718,0.91579521146631,4.09661902138059
6.13733712757943,0.324298391496837,0.415696322797377
5.87597604720581,0.675366975750102,1.73058639907831
3.22923228955908,0.235883364813712,1.7707287759083
10.5618131183353,0.786681078008337,5.52961939245525
6.54761093106325,0.71690532395189,2.79180998131287
4.46743447019318,1.52138340299828,4.74954849797848
5.57901957000354,1.12181536866767,3.79062292439769
4.7885430757352,0.771047863261077,4.92140502951129
2.7387876010214,1.23990297344154,0.715847314981872
3.8040416639358,0.379948612752827,6.14849822537375
3.08527355439386,0.674495966017167,5.33189016309455
3.47135829128,1.29789648792377,0.318221330023663
3.80425564000783,1.27945334752071,2.9292325122535
4.89158227754029,1.00606626867989,2.0461398723884
2.50042166308338,0.904869137275436,3.9596955819077
11.9913640227852,0.625999760039187,1.44701232210363
15.9596795383857,1.31509065555049,3.64352474397522
5.40912878138395,0.361025373037831,3.78974293052046
5.39689890732481,1.0250552392417,3.76915152102118
4.38656007958122,0.934056081133403,2.8175554693579
11.9290385555047,1.15001874100271,0.22257216769155
4.58117297873019,0.68296537805795,3.2283938221234
3.00320229827127,1.04699228057109,2.56184416174379
8.74372728623727,1.1527996761934,0.678873269761867
4.71167900242806,0.603898767260715,2.88948379490032
3.81448471595489,0.837755411779619,2.83297989315665
4.80204581161108,1.42582148933476,3.46291686012035
2.89872384987032,0.834786971822076,5.06050457096366
3.14389549960262,0.612390086012756,4.40357087986512
15.6046689726257,0.906036807309008,5.48041730264057
17.5044104016501,0.644164075586742,0.327932965291348
6.09771766678446,1.05474731922696,1.38029838808401
2.59900968047766,0.698867624878356,2.88801592449423
3.77382531241252,0.777742968712716,6.0226442076358
4.4809177837696,0.985435145216381,4.96400137897866
9.65113586027699,1.40491203971522,2.83921190422336
2.03687542256998,0.60955038210519,2.09499108217045
2.43585936546836,1.15629158780814,0.371306800354666
3.37876091491044,1.03466856019492,4.65524531315243
6.82914773507198,1.3550576743641,3.1842839073046
7.90795599333591,0.179633568620388,1.256168418369
6.81466876143527,0.640236504403671,2.68413624360149
5.12030373067303,0.951066701239596,1.05991228066897
5.85212935786993,0.559269581084659,4.72303640874454
4.13721896208468,0.500634606315884,2.31441659600931
8.11231968425693,1.00336509075768,5.91761573309151
3.50141673944239,0.911297251702382,0.107898256737159
7.28270241858023,0.876510218611704,5.20911190486938
3.46899617057727,0.948725253116877,3.93698720745032
4.57631891791069,0.219836785776708,3.38504418833004
6.58389655037616,0.631777457460172,4.08726001682813
8.74325690705577,0.736661606002145,4.56554800115106
2.77906142752369,0.513031515655074,0.593689156522278
14.4625893210049,1.00769441110871,5.51395965000567
8.65704601710758,1.18182903395851,0.0902400118210161
5.37822149417554,0.559276402876757,1.84915794086463
5.01622686666445,1.02557996513619,1.13043852116084
5.09086011062671,0.38026250881066,5.82007853606603
4.19682027793809,1.15482812551928,0.42839031890871
5.54303938208443,0.381477874552729,3.65111642962274
5.56021336803263,0.874071643916683,4.003339199822
9.56184631670297,0.64990266517468,4.09204547538874
9.03990547839037,1.11565279683364,5.43258032541486
6.7784284734165,0.789178985203759,0.351560110669727
4.64079978767207,0.774991750839721,5.13245242594948
9.41667166684617,1.2125375570184,3.32331786907197
5.73675463200907,0.636341970709547,4.36273324053483
4.46605766935963,0.734755174575807,1.33457932349102
15.2542291072737,1.3786456289025,3.41352857596238
11.3645822123815,0.207142454270142,4.41406505199045
5.87856661766542,1.40560251892104,6.00945555745779
6.55188723589662,0.450015098569777,2.79314078618843
6.20655331547713,0.955797850928231,0.536570395827019
3.61330321509125,0.872274247540803,0.360278772542739
4.16649182247673,0.964303727478818,3.9549540458573
5.26254237288592,0.644565413790909,5.00254061250707
3.74857705345596,0.906867918962314,4.34288322706416
10.2892895337269,1.12123806101839,2.16963328632392
3.53601351626683,0.139220615527991,5.94902457170248
3.72157003802487,0.29381855019003,3.26845216432343
3.38944909262074,1.41138216136379,5.99298398572013
3.73194748980684,0.939159816623475,0.462415017582622
5.01515480647911,0.501648901299115,1.30082009424951
4.2250667061907,0.68827977831338,4.86964337346701
13.9768438021409,0.356839262638446,5.7440114864414
4.97833909963266,0.54464071145516,4.91691073181722
3.47676899672681,0.53261233551713,1.85689611911228
12.7743967776314,0.61370931533738,0.954074811404441
23.5792897553544,0.400818145210267,5.32757893560493
5.03641632936,0.630961916598585,4.93138683502892
3.00263647931043,0.356285817710648,1.70168451503853
3.91079599740707,1.22349345292344,1.43137687331896
4.83427845707137,0.312089492410955,2.01704836087682
